ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
2KS3,small_airport,Wilson Airport,1727,NA,US,US-KS,Wilson,2KS3,,2KS3,"-98.48560333251953, 38.83810043334961"
2KS4,closed,Dick Airport,1549,NA,US,US-KS,Spivey,,,,"-98.225304, 37.4478"
2KS5,small_airport,Plains Municipal Airport,2762,NA,US,US-KS,Plains,2KS5,,2KS5,"-100.58799743652344, 37.27090072631836"
2KS6,small_airport,Flying H Airport,1192,NA,US,US-KS,Seneca,2KS6,,2KS6,"-96.026783, 39.750379"
2KS8,small_airport,Vonada Airport,1629,NA,US,US-KS,Sylvan Grove,2KS8,,2KS8,"-98.40029907226562, 39.11669921875"
2KS9,small_airport,Starshire Farm Airport,990,NA,US,US-KS,Topeka,2KS9,,2KS9,"-95.58360290527344, 38.900001525878906"
2KY0,heliport,Jane Todd Crawford Hospital Heliport,625,NA,US,US-KY,Greensburg,2KY0,,2KY0,"-85.49330139160156, 37.24330139160156"
2KY1,small_airport,Kitty Hawk Farm Ultralightport,980,NA,US,US-KY,Paint Lick,2KY1,,2KY1,"-84.38140106201172, 37.61920166015625"
2KY2,heliport,Livingston Hospital Heliport,420,NA,US,US-KY,Salem,2KY2,,2KY2,"-88.23190307617188, 37.26219940185547"
2KY3,small_airport,Plane-O-Field Airport,655,NA,US,US-KY,Bowling Green,2KY3,,2KY3,"-86.45829772949219, 36.83470153808594"
2KY4,small_airport,Oz Airport,820,NA,US,US-KY,Elizabethtown,2KY4,,2KY4,"-85.8135986328125, 37.654998779296875"
2KY5,small_airport,Womstead Field,1050,NA,US,US-KY,Olive Hill,2KY5,,2KY5,"-83.15470123291016, 38.375"
2KY6,heliport,The Medical Center At Bowling Green Heliport,494,NA,US,US-KY,Bowling Green,2KY6,,2KY6,"-86.42919921875, 36.99470138549805"
2KY7,heliport,Taylor County Hospital Heliport,872,NA,US,US-KY,Campbellsville,2KY7,,2KY7,"-85.33779907226562, 37.36669921875"
2KY8,small_airport,Seldom Scene Airport,860,NA,US,US-KY,Millville,2KY8,,2KY8,"-84.8499984741211, 38.10559844970703"
2KY9,heliport,Baptist Health La Grange Heliport,792,NA,US,US-KY,La Grange,2KY9,,2KY9,"-85.376865, 38.39418"
2L1,small_airport,Larimore Municipal Airport,1130,NA,US,US-ND,Larimore,2L1,,2L1,"-97.6406021118164, 47.906898498535156"
2LA0,small_airport,Central Industries Airport,2,NA,US,US-LA,Intracoastal City,2LA0,,2LA0,"-92.15650177001953, 29.78969955444336"
2LA1,heliport,N.Freshwater Bayou Heliport,4,NA,US,US-LA,Intracoastal City,2LA1,,2LA1,"-92.26399993896484, 29.68160057067871"
